* Measurement data measured by REW V5.20.9
* Format: Comma/Tab/Space delimited data
* Dated: 27.12.2022 18:42:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Measurement: Harman 2018
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
3066.300293	68.456	0.0000
3088.520020	68.482	0.0000
3110.900635	68.507	0.0000
3133.443604	68.530	0.0000
3156.149902	68.549	0.0000
3179.020752	68.565	0.0000
3202.057129	68.576	0.0000
3225.260498	68.585	0.0000
3248.632080	68.595	0.0000
3272.173096	68.606	0.0000
3295.884521	68.617	0.0000
3319.767822	68.627	0.0000
3343.824219	68.634	0.0000
3368.054932	68.639	0.0000
3392.461182	68.639	0.0000
3417.044434	68.637	0.0000
3441.805664	68.636	0.0000
3466.746338	68.634	0.0000
3491.867920	68.634	0.0000
3517.171387	68.632	0.0000
3542.658203	68.626	0.0000
3568.329834	68.616	0.0000
3594.187500	68.601	0.0000
3620.232422	68.584	0.0000
3646.466064	68.567	0.0000
3672.889893	68.549	0.0000
3699.505127	68.533	0.0000
3726.313232	68.516	0.0000
3753.315674	68.494	0.0000
3780.513672	68.469	0.0000
3807.908936	68.442	0.0000
3835.502686	68.413	0.0000
3863.296387	68.385	0.0000
3891.291504	68.357	0.0000
3919.489502	68.330	0.0000
3947.891846	68.302	0.0000
3976.500000	68.272	0.0000
4005.315430	68.238	0.0000
4034.339600	68.200	0.0000
4063.573975	68.159	0.0000
4093.020264	68.118	0.0000
4122.680176	68.075	0.0000
4152.554688	68.035	0.0000
4182.645996	67.993	0.0000
4212.955078	67.951	0.0000
4243.483887	67.906	0.0000
4274.233887	67.856	0.0000
4305.206543	67.802	0.0000
4336.403809	67.746	0.0000
4367.827148	67.690	0.0000
4399.478027	67.634	0.0000
4431.358398	67.579	0.0000
4463.469727	67.524	0.0000
4495.813965	67.468	0.0000
4528.392578	67.406	0.0000
4561.207031	67.343	0.0000
4594.259277	67.280	0.0000
4627.551270	67.218	0.0000
4661.084473	67.155	0.0000
4694.860840	67.092	0.0000
4728.881836	67.028	0.0000
4763.149414	66.964	0.0000
4797.665039	66.897	0.0000
4832.430664	66.830	0.0000
4867.448242	66.762	0.0000
4902.719727	66.694	0.0000
4938.247070	66.625	0.0000
4974.031738	66.558	0.0000
5010.075684	66.496	0.0000
5046.380859	66.437	0.0000
5082.949219	66.380	0.0000
5119.782227	66.324	0.0000
5156.882324	66.267	0.0000
5194.250977	66.210	0.0000
5231.890625	66.153	0.0000
5269.803223	66.096	0.0000
5307.990234	66.038	0.0000
5346.454102	65.982	0.0000
5385.196777	65.926	0.0000
5424.220215	65.870	0.0000
5463.526367	65.812	0.0000
5503.117188	65.756	0.0000
5542.995117	65.700	0.0000
5583.162109	65.646	0.0000
5623.620117	65.596	0.0000
5664.371094	65.548	0.0000
5705.417480	65.503	0.0000
5746.761230	65.458	0.0000
5788.404785	65.414	0.0000
5830.350098	65.369	0.0000
5872.599121	65.325	0.0000
5915.154297	65.279	0.0000
5958.018066	65.236	0.0000
6001.192383	65.188	0.0000
6044.679688	65.126	0.0000
6088.481934	65.059	0.0000
6132.601562	64.993	0.0000
6177.041016	64.928	0.0000
6221.802246	64.861	0.0000
6266.888184	64.797	0.0000
6312.300781	64.736	0.0000
6358.042480	64.679	0.0000
6404.115234	64.622	0.0000
6450.521973	64.566	0.0000
6497.265137	64.510	0.0000
6544.347168	64.454	0.0000
6591.770020	64.398	0.0000
6639.536621	64.342	0.0000
6687.649414	64.282	0.0000
6736.110840	64.221	0.0000
6784.923340	64.156	0.0000
6834.089844	64.090	0.0000
6883.612305	64.024	0.0000
6933.493652	63.958	0.0000
6983.736816	63.893	0.0000
7034.343750	63.827	0.0000
7085.317383	63.758	0.0000
7136.660645	63.686	0.0000
7188.375977	63.607	0.0000
7240.465820	63.526	0.0000
7292.933105	63.447	0.0000
7345.780762	63.368	0.0000
7399.011230	63.288	0.0000
7452.627441	63.210	0.0000
7506.632324	63.133	0.0000
7561.028320	63.059	0.0000
7615.818848	62.986	0.0000
7671.006348	62.914	0.0000
7726.593750	62.841	0.0000
7782.583984	62.768	0.0000
7838.979980	62.695	0.0000
7895.784668	62.623	0.0000
7953.000977	62.550	0.0000
8010.631836	62.475	0.0000
8068.680176	62.394	0.0000
8127.148926	62.311	0.0000
8186.041504	62.229	0.0000
8245.361328	62.147	0.0000
8305.110352	62.065	0.0000
8365.292969	61.983	0.0000
8425.911133	61.901	0.0000
8486.968750	61.816	0.0000
8548.468750	61.726	0.0000
8610.414062	61.634	0.0000
8672.808594	61.540	0.0000
8735.655273	61.446	0.0000
8798.957031	61.353	0.0000
8862.717773	61.260	0.0000
8926.940430	61.165	0.0000
8991.628906	61.068	0.0000
9056.786133	60.967	0.0000
9122.415039	60.862	0.0000
9188.519531	60.755	0.0000
9255.103516	60.647	0.0000
9322.169922	60.542	0.0000
9389.722656	60.435	0.0000
9457.764648	60.326	0.0000
9526.299805	60.211	0.0000
9595.331055	60.087	0.0000
9664.862305	59.959	0.0000
9734.897461	59.832	0.0000
9805.440430	59.705	0.0000
9876.495117	59.579	0.0000
9948.064453	59.452	0.0000
10020.152344	59.327	0.0000
10092.762695	59.203	0.0000
10165.899414	59.081	0.0000
10239.565430	58.958	0.0000
10313.765625	58.836	0.0000
10388.503906	58.713	0.0000
10463.783203	58.592	0.0000
10539.608398	58.468	0.0000
10615.982422	58.336	0.0000
10692.910156	58.199	0.0000
10770.395508	58.059	0.0000
10848.442383	57.917	0.0000
10927.054688	57.775	0.0000
11006.236328	57.634	0.0000
11085.992188	57.493	0.0000
11166.326172	57.350	0.0000
11247.242188	57.198	0.0000
11328.744141	57.043	0.0000
11410.836914	56.885	0.0000
11493.524414	56.726	0.0000
11576.811523	56.566	0.0000
11660.702148	56.409	0.0000
11745.200195	56.255	0.0000
11830.310547	56.106	0.0000
11916.038086	55.962	0.0000
12002.386719	55.823	0.0000
12089.361328	55.683	0.0000
12176.965820	55.545	0.0000
12265.205078	55.405	0.0000
12354.083984	55.267	0.0000
12443.606445	55.128	0.0000
12533.778320	54.990	0.0000
12624.603516	54.851	0.0000
12716.086914	54.714	0.0000
12808.233398	54.575	0.0000
12901.046875	54.438	0.0000
12994.533203	54.299	0.0000
13088.697266	54.163	0.0000
13183.542969	54.031	0.0000
13279.076172	53.904	0.0000
13375.301758	53.787	0.0000
13472.224609	53.674	0.0000
13569.849609	53.559	0.0000
13668.182617	53.443	0.0000
13767.227539	53.328	0.0000
13866.990234	53.213	0.0000
13967.476562	53.102	0.0000
14068.690430	52.994	0.0000
